"지진해일대피소명",지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
"광이 제1어린이공원",지진대피소,옥외대피소,공원,,경기도 광명시 광명동 61-7,37.4841280705,126.8586009191,678,822,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"꿈동산공원",지진대피소,옥외대피소,공원,,경기도 광명시 광명동 755,37.4696258230,126.8473811046,1200,1455,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"너부대어린이공원",지진대피소,옥외대피소,공원,,경기도 광명시 광명동 172-77,37.4785736864,126.8481200381,1295,1570,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"다솜공원",지진대피소,옥외대피소,공원,,경기도 광명시 광명동 98-11,37.4823475625,126.8541271154,715,867,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"동산공원",지진대피소,옥외대피소,공원,,경기도 광명시 광명동 78-8,37.4827623442,126.8617353607,1474,1787,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"신나는어린이공원",지진대피소,옥외대피소,공원,,경기도 광명시 광명동 731,37.4682113087,126.8544264266,1362,1651,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"우리또래공원",지진대피소,옥외대피소,공원,,경기도 광명시 광명동 745,37.4671787583,126.8501782227,1924,2332,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"우리어린이공원",지진대피소,옥외대피소,공원,,경기도 광명시 광명동 759-44,37.4720476597,126.8459856246,1150,1394,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"파란마음공원",지진대피소,옥외대피소,공원,경기도 광명시 광복로21번길 7-1,경기도 광명시 광명동 10-9번지,37.4877624615,126.8611990,1653,2004,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"하얀마음공원",지진대피소,옥외대피소,공원,,경기도 광명시 광명동 71-10,37.4845449133,126.8605674418,1070,1297,Y,02-2680-0701,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"스피돔 경륜장 주차장(P5 대형주차장, P6 남쪽 우수지옆 주차장)",지진대피소,옥외대피소,기타,경기도 광명시 광명로 721,경기도 광명시 광명동 780,37.4677452,126.8449125,16000,19394,Y,02-2067-5000,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"광남중학교 운동장",지진대피소,옥외대피소,운동장,경기도 광명시 광명로 785,경기도 광명시 광명동 384-6번지,37.4703839,126.8476359,14170,17176,Y,02-2614-9595,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"광명남초등학교 운동장",지진대피소,옥외대피소,운동장,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58번지,37.4755142,126.8539155,10402,12608,Y,02-2616-6820,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"광명서초등학교 운동장",지진대피소,옥외대피소,운동장,경기도 광명시 너부대로 5,경기도 광명시 광명동 219번지,37.4784133,126.8470141,10175,12333,Y,02-2686-0961,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"광명초등학교 운동장",지진대피소,옥외대피소,운동장,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1번지,37.4803516,126.8575998,11687,14166,Y,070-7114-3990,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
"광문고등학교 운동장",지진대피소,옥외대피소,운동장,경기도 광명시 원광명안로 39,경기도 광명시 광명동 492-1,37.4649266,126.8497872,12000,14545,Y,02-2610-2610,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2019-09-09
