지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
개포은행나무공원,지진대피소,옥외대피소,공원,서울특별시강남구개포동1220,서울특별시강남구개포동1220,37.4850738,127.0470484,1642,1990,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
국립국악고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구개포로22길65,서울특별시강남구개포로22길65,37.475978,127.0516132,1392,1687,Y,02-3423-7862,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
구룡초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구개포로263,서울특별시강남구개포로263,37.4807232,127.051863,12874,15604,Y,02-3423-7862,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
강동고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구구천면로572,서울특별시강남구구천면로572,37.4812767,127.058657,4251,5152,Y,02-427-0233,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
개원초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구선릉로29,서울특별시강남구선릉로29,37.4809196,127.0781655,12032,14584,Y,02-3423-7664,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
한솔근린공원,지진대피소,옥외대피소,공원,서울특별시강남구일원동732,서울특별시강남구일원동732,37.4806646,127.0807035,12878,15609,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
일원장미공원,지진대피소,옥외대피소,공원,서울특별시강남구일원동732-4,서울특별시강남구일원동732-4,37.4807426,127.084375,1500,1818,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
로봇고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구광평로20길63,서울특별시강남구광평로20길63,37.4814341,127.0865193,8640,10472,Y,02-3423-8263,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대모초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구광평로20길27,서울특별시강남구광평로20길27,37.474172,127.0950243,4840,5866,Y,02-3423-8263,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
LH보금자리근린공원2호,지진대피소,옥외대피소,공원,서울특별시강남구자곡동625,서울특별시강남구자곡동625,37.4686949,127.0911592,5237,6347,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
세명초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구자곡로55,서울특별시강남구자곡로55,37.4715425,127.0922007,1365,1654,Y,02-3423-8658,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
세곡중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구자곡로81,서울특별시강남구자곡로81,37.474707,127.101034,2433,2949,Y,02-3423-8658,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
LH보금자리근린공원7호,지진대피소,옥외대피소,공원,서울특별시강남구자곡동627,서울특별시강남구자곡동627,37.4692712,127.1073203,12093,14658,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
행복공원,지진대피소,옥외대피소,공원,서울특별시강남구세곡동546,서울특별시강남구세곡동546,37.474172,127.0950243,2484,3010,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
LH보금자리근린공원5호,지진대피소,옥외대피소,공원,서울특별시강남구자곡동607,서울특별시강남구자곡동607,37.4692712,127.1073203,21561,26134,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
도담공원,지진대피소,옥외대피소,공원,서울특별시강남구세곡동548,서울특별시강남구세곡동548,37.474168,127.094971,4283,5191,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
자곡초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구자곡로150,서울특별시강남구자곡로150,37.472934,127.10129,1870,2266,Y,02-3423-8658,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
못골공원,지진대피소,옥외대피소,공원,서울특별시강남구자곡동447-23외1,서울특별시강남구자곡동447-23외1,37.474172,127.0950243,749,907,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
풍문고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구자곡동643,서울특별시강남구자곡동643,37.4620948,127.101929,2392,2899,Y,02-3423-8658,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
세곡천공원,지진대피소,옥외대피소,공원,서울특별시강남구세곡동522-1,서울특별시강남구세곡동522-1,37.4600486,127.1015872,2645,3206,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
세곡동근린공원1,지진대피소,옥외대피소,공원,서울특별시강남구세곡동525-1,서울특별시강남구세곡동525-1,37.4692712,127.1073203,10310,12496,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대왕공원,지진대피소,옥외대피소,공원,서울특별시강남구세곡동526-2,서울특별시강남구세곡동526-2,37.4641998,127.1056319,2633,3191,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대왕초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구헌릉로618길8,서울특별시강남구헌릉로618길8,37.4702593,127.1046598,1836,2225,Y,02-3423-8658,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
윗방죽마을공원,지진대피소,옥외대피소,공원,서울특별시강남구율현동308-29,서울특별시강남구율현동308-29,37.4658333,127.1094444,935,1133,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
윗반고개공원,지진대피소,옥외대피소,공원,서울특별시강남구세곡동99-6외11,서울특별시강남구세곡동99-6외11,37.474463,127.108631,1250,1515,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
율현초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구밤고개로21길15,서울특별시강남구밤고개로21길15,37.5081699,127.0260317,300,363,Y,02-3423-8658,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
강동아트센터잔디광장,지진대피소,옥외대피소,기타,서울특별시강남구동남로870,서울특별시강남구동남로870,37.505393,127.0311947,906,1098,Y,02-440-0500,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
논현초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구강남대로120길33,서울특별시강남구강남대로120길33,37.492918,127.0328543,1956,2370,Y,02-3423-7413,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
역삼은행나무공원,지진대피소,옥외대피소,공원,서울특별시강남구역삼동611,서울특별시강남구역삼동611,37.4909452,127.033686,1647,1996,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
역삼초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구강남대로66길21,서울특별시강남구강남대로66길21,37.4879414,127.0359252,5600,6787,Y,02-3423-8612,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
역삼소나무공원,지진대피소,옥외대피소,공원,서울특별시강남구역삼동836-21,서울특별시강남구역삼동836-21,37.4862841,127.0367809,987,1196,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
은성중학교운동장(은광여자고등학교운동장),지진대피소,옥외대피소,운동장,서울특별시강남구남부순환로359길36,서울특별시강남구남부순환로359길36,37.504931,127.036501,4882,5917,Y,02-3423-7463,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
언주초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구남부순환로363길19,서울특별시강남구남부순환로363길19,37.4848991,127.0443146,9078,11003,Y,02-3423-7463,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
충현공원,지진대피소,옥외대피소,공원,서울특별시강남구역삼동666-2외2,서울특별시강남구역삼동666-2외2,37.4923472,127.0450882,1538,1864,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
도곡목련공원,지진대피소,옥외대피소,공원,서울특별시강남구도곡동415-3,서울특별시강남구도곡동415-3,37.4953104,127.0446004,1709,2071,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
도곡중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구언주로57길31,서울특별시강남구언주로57길31,37.4845355,127.0468249,3200,3878,Y,02-3423-7463,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
역삼장미공원,지진대피소,옥외대피소,공원,서울특별시강남구역삼동780-25,서울특별시강남구역삼동780-25,37.4845654,127.0472825,1637,1984,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
강동중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구풍산로237,서울특별시강남구풍산로237,37.501754,127.0476387,2433,2949,Y,02-481-7875,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
독골근린공원,지진대피소,옥외대피소,공원,서울특별시강남구도곡동461,서울특별시강남구도곡동461,37.4956709,127.0490787,10023,12149,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대치중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구남부순환로378길39,서울특별시강남구남부순환로378길39,37.5013049,127.0489326,6852,8305,Y,02-3423-7563,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
진선여자중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구선릉로85길27,서울특별시강남구선릉로85길27,37.4919416,127.0521317,6816,8261,Y,02-3423-7362,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
역삼중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구도곡로43길10,서울특별시강남구도곡로43길10,37.4928283,127.0531484,6824,8271,Y,02-3423-7362,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
도성초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구역삼로313,서울특별시강남구역삼로313,37.4907295,127.0533366,11452,13881,Y,02-3423-7362,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
중대부속고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구선릉로207,서울특별시강남구선릉로207,37.4993211,127.054928,9107,11038,Y,02-3423-7563,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대도초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구선릉로209,서울특별시강남구선릉로209,37.4953357,127.0564936,5587,6772,Y,02-3423-7563,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
숙명여자고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구남부순환로2807,서울특별시강남구남부순환로2807,37.4862777,127.0560795,13170,15963,Y,02-3423-7563,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
도곡초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구선릉로64길33,서울특별시강남구선릉로64길33,37.4896066,127.0571491,8080,9793,Y,02-3423-8512,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
단대부속고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구도곡로64길21,서울특별시강남구도곡로64길21,37.4861543,127.057776,7800,9454,Y,02-3423-8313,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
구룡중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구선릉로103,서울특별시강남구선릉로103,37.4905203,127.0583895,7038,8530,Y,02-3423-7664,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
늘벗근린공원,지진대피소,옥외대피소,공원,서울특별시강남구대치동501,서울특별시강남구대치동501,37.4846776,127.0596014,19812,24014,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
개일초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구개포로401,서울특별시강남구개포로401,37.504951,127.0620662,6600,8000,Y,02-3423-7762,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대청중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구양재천로321,서울특별시강남구양재천로321,37.5063402,127.0608974,8336,10104,Y,02-3423-8313,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
개포고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구개포로402,서울특별시강남구개포로402,37.4909689,127.0624593,8882,10766,Y,02-3423-7762,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
휘문고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구역삼로541,서울특별시강남구역삼로541,37.488941,127.062409,2170,2630,Y,02-3423-8412,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대명중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구역삼로87길26,서울특별시강남구역삼로87길26,37.504951,127.0620662,5400,6545,Y,02-3423-8412,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대치초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구양재천로363,서울특별시강남구양재천로363,37.4850307,127.0639073,13435,16284,Y,02-3423-8313,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
배밭근린공원,지진대피소,옥외대피소,공원,서울특별시강남구개포동181외1필지,서울특별시강남구개포동181외1필지,37.4888792,127.0642133,11627,14093,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
휘문중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구역삼로541,서울특별시강남구역삼로541,37.5038985,127.0636435,5221,6328,Y,02-3423-8412,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
수도전기공업고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구개포로410,서울특별시강남구개포로410,37.4943322,127.0646926,20800,25212,Y,02-3423-7762,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
개포서근린공원,지진대피소,옥외대피소,공원,서울특별시강남구개포동180외2필지,서울특별시강남구개포동180외2필지,37.486824,127.0660933,11219,13598,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대현초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구역삼로98길16,서울특별시강남구역삼로98길16,37.4888792,127.0642133,8585,10406,Y,02-3423-8412,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대곡초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구남부순환로3022,서울특별시강남구남부순환로3022,37.491213,127.070053,7805,9460,Y,02-3423-8412,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
경기여자고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구삼성로29,서울특별시강남구삼성로29,37.4903657,127.0694778,8292,10050,Y,02-3423-7762,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
개포동근린공원,지진대피소,옥외대피소,공원,서울특별시강남구개포동182-1외2필지,서울특별시강남구개포동182-1외2필지,37.4951065,127.0698635,9706,11764,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
학여울근린공원,지진대피소,옥외대피소,공원,서울특별시강남구개포동183-1외1필지,서울특별시강남구개포동183-1외1필지,37.4918658,127.071402,12506,15158,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
양전초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구개포로513,서울특별시강남구개포로513,37.4959964,127.0757885,7515,9109,Y,02-3423-7762,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
대치근린공원,지진대피소,옥외대피소,공원,서울특별시강남구대치동512,서울특별시강남구대치동512,37.4898353,127.0762907,10409,12616,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
개원중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구영동대로101,서울특별시강남구영동대로101,37.4829771,127.0764826,10260,12436,Y,02-3423-7762,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
한마음공원,지진대피소,옥외대피소,공원,서울특별시강남구개포동12-3,서울특별시강남구개포동12-3,37.4830306,127.0774464,2488,3015,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
일원초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구영동대로4길20,서울특별시강남구영동대로4길20,37.4898686,127.0774358,6881,8340,Y,02-3423-8463,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
일원개나리공원,지진대피소,옥외대피소,공원,서울특별시강남구일원동730-3,서울특별시강남구일원동730-3,37.488319,127.0786207,4454,5398,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
일원느티나무공원,지진대피소,옥외대피소,공원,서울특별시강남구일원동730-2,서울특별시강남구일원동730-2,37.4970272,127.0779765,1826,2213,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
늘푸른근린공원,지진대피소,옥외대피소,공원,서울특별시강남구일원동690,서울특별시강남구일원동690,37.4960323,127.0787736,11410,13830,Y,000-0000-0000,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
중동중학교운동장,지진대피소,옥외대피소,운동장,서울특별시강남구일원로8길37,서울특별시강남구일원로8길37,37.485653,127.0808471,5937,7196,Y,02-3423-8463,,강남구,,,,미적용,,,,1,,,강남구,02-3423-6942,2018-08-06
