지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
용두초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 신설동237-1,,,,4500,5455,Y,02-927-4892,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
대광고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 신설동53-3(안암로6),,,,4500,5455,Y,02-926-4976,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
우산각어린이공원,지진대피소,옥외대피소,공원,서울특별시 동대문구 신설동109-4(천호대로4길22),,,,1950,2364,Y,02-2127-4776,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
용두희망어린이공원,지진대피소,옥외대피소,공원,서울특별시 동대문구 용두동715,,,,1560,1891,Y,02-2127-4776,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
종암초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 제기동1157(무학로44길25),,,,4412,5348,Y,02-924-4125,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
홍파초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 제기동678(고산자로518),,,,907,1099,Y,02-967-8161,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
성일중학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 제기동271-41(왕산로23길55),,,,1681,2038,Y,02-926-0211,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
정화여자상업고등학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 제기동293(홍릉로15길50),,,,636,771,Y,02-960-1495,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
방아다리어린이공원,지진대피소,옥외대피소,공원,서울특별시 동대문구 제기동132-1,,,,530,642,Y,02-2127-4776,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
동대문중학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 전농동322-5(사가정로59),,,,2031,2461,Y,02-3407-4124,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
전농초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 전농동298(사가정로66),,,,2066,2504,Y,02-2244-1883,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
배봉초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 전농동3-111(사가정로193),,,,3265,3958,Y,02-2243-6502,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
전곡초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 전농동188(전농로172),,,,2230,2703,Y,02-2242-6548,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
전동초등학교운동장,지진대피소,옥외대피소,운동장,서울특별시 동대문구 전농동45-41(전농로16길61),,,,1755,2127,Y,02-2214-6574,,별도지구지정없음,,,,적용,,,,1,,,서울시 동대문구청,,2019-09-30
