"지진해일대피소명",지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
"대광초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 안암로 5,,37.5791512170,127.0234478949,847,1027,Y,02-923-2032,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"동신초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 보문사길 50,,37.5832860722,127.0170593097,2793,3385,Y,02-925-3442,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"경동고등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 보문로29길49,,37.5866018708,127.0160320241,8830,10703,Y,02-928-2077,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"삼선초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 보문로29길103,,37.5856579777,127.0132285173,4363,5288,Y,02-742-8792,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"안암초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 인촌로7가길 39,,37.604399,127.008017,2768,3355,Y,02-928-4403,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"용문고등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 인촌로17가길 46,,37.611779,127.000357,3465,4200,Y,02-928-3871,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"삼선중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 동소문로3길 69,,37.5917491662,127.0078716319,4145,5024,Y,02-742-0965,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"성북초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 성북로 102-10,,37.5940523576,126.9987770965,4397,5330,Y,02-747-7937,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"동구마케팅고등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 성북로8길 71,,37.5929564751,127.0081706866,1014,1229,Y,02-2170-8681,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"동구여자중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 성북로8길 71,,37.5929564751,127.0081706866,1718,2083,Y,02-2170-8784,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"우촌초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 성북로4길 52-1,,37.5955942393,127.0121205816,1153,1398,Y,02-929-1670,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"돈암초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 동소문로13길 38,,37.5937452995,127.0131031296,3107,3802,Y,02-926-2367,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"성신여자중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 북악산로 918,,37.5938951028,127.0232532327,3395,4115,Y,02-929-1898,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"종암중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 종암로5길 80-17,,37.5931109974,127.0319898439,3035,3679,Y,02-6749-2032,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"숭례초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 종암로5길 14,,37.5945228099,127.0352968373,3182,3857,Y,02-927-5612,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"고명중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 북악산로 870,,37.5974095684,127.0199840452,4933,5977,Y,02-925-0313,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"정덕초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 아리랑로 63,,37.5982394090,127.0134209845,2417,2930,Y,02-928-0422,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"고려대학교 사범대학 부속고등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 정릉로 161,,37.6098268957,127.0015719892,8829,10720,Y,070-4362-4206,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"정수초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 정릉로24길 58,,37.6037756064,127.0077188836,1022,1239,Y,02-916-0051,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"숭덕초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 정릉로 279,,37.6038183580,127.0132906207,4865,5897,Y,02-911-1764,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"개운초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 정릉로48길52,,37.6018373054,127.0275951989,1336,1619,Y,02-925-8867,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"개운중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 북악산로 935,,37.5946263841,127.0248432468,1795,2176,Y,02-3291-5492,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"계성고등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 길음로 63,,37.6074934198,127.0201815365,4330,5248,Y,02-728-6104,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"미아초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 삼양로 77,,37.6105889600,127.0216456516,4243,5143,Y,02-912-4021,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"길원초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 서경로8길 28-15,,37.607395,127.032491,1410,1709,Y,02-914-9370,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"북악중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 정릉로12길 42,,37.6059718,126.9978047,1569,1902,Y,02-910-2304,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"고려대학교 사범대학 부속중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 정릉로 161,,37.6098268957,127.0015719892,2790,3382,Y,070-4832-3404,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"청덕초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 정릉로9라길 11,,37.6120325272,127.0003352467,2567,3112,Y,02-914-3409,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"대일외국어고등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 서경로 116,,37.6133038725,127.0141757443,4444,5387,Y,02-940-0698,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"길음초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 길음로 142,,37.6136315081,127.0166584980,1938,2349,Y,02-918-9984,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"길음중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 길음로 144,,37.6140890951,127.0174559658,1807,2190,Y,02-910-8766,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"정릉초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 솔샘로25가길 8,,37.6197953266,127.0052557663,3742,4536,Y,02-916-2590,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"숭곡중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 종암로 208,,37.6084784796,127.0312987819,2798,3392,Y,070-4323-2542,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"숭곡초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 종암로40길 30,,37.6084312159,127.0328163602,2838,3440,Y,02-912-1656,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"서울도시과학기술고등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 종암로 196,,37.6078112720,127.0330425931,6398,7755,Y,02-940-2680,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"숭인초등학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 오패산로16길 37,,37.6091611883,127.0382347854,1943,2355,Y,070-7126-8095,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"도시공단 공영주차장",지진대피소,옥외대피소,기타,서울특별시 성북구 하월곡동 226-4,,37.6003197,127.0390596,1453,1761,Y,02-914-2008,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
"월곡중학교",지진대피소,옥외대피소,운동장,서울특별시 성북구 장월로 6,,37.6069807243,127.0482586818,1408,1707,Y,02-6496-6600,,별도 지구지정사항 없음,,,,미적용,,,,,,,서울특별시 성북구청,02-2241-2183,2019-06-12
